X,y
63.10456246,0.269341686
31.33807705,-0.077770877
65.00673109,0.82302405
84.46729787,0.348250173
49.33666386,-0.800913096
93.32172095,-0.799257451
8.294747213,0.904425308
81.09716523,-0.551568744
35.2124566,-0.60910961
16.22102074,-0.490843351
56.73062122,0.180951126
94.61822467,0.362030341
75.04883687,-0.342321733
87.21178486,-0.683691703
97.78126431,-0.381937711
15.20146165,0.485121069
18.61897797,-0.228540215
49.2952836,-0.824998114
47.11991561,0.003974187
67.07551001,-0.892141814
23.64998475,-0.996126995
47.71340825,-0.555960815
69.59451067,0.461311035
51.79604341,0.999190667
11.53148143,-0.859805775
53.5010217,-0.093808452
77.40958205,0.904512127
91.39213779,-0.282069806
41.6682144,-0.73624858
18.19022417,-0.612588806
87.75175197,-0.211238945
31.12704563,-0.284879679
0.083794893,0.083696865
4.504355587,-0.978438982
19.39849072,0.521778823
7.593472998,0.966259093
46.80696176,0.311649068
68.34704694,-0.694691865
95.76394607,0.99850816
15.96189314,-0.251209737
25.9832207,0.751596763
77.87477432,0.617092202
70.26384381,0.912275322
3.840257894,-0.643196234
16.21778825,-0.488024494
14.37767396,0.97121733
0.521333592,0.498037012
51.62044174,0.976797471
92.16820906,-0.87334225
14.53197956,0.923068655
44.90980181,0.800125649
35.22415559,-0.618346018
77.20871418,0.971410627
42.66422628,-0.968234536
38.85483937,0.915088578
35.8437259,-0.959776956
31.7558026,0.33337025
37.24899404,-0.435071603
35.87699437,-0.96858472
36.19016644,-0.998087841
64.31736242,0.99636527
45.78910186,0.972279052
59.04284947,0.603123281
5.665336303,-0.579283168
81.60147454,-0.079849359
50.10244497,-0.162316161
3.422262777,-0.276999612
97.07302361,0.311098478
57.88895535,0.973550287
35.13290516,-0.544158658
75.13107297,-0.263984305
99.83065919,-0.644451492
33.0940155,0.994249665
60.21179342,-0.498209924
95.53118177,0.958985766
25.51784782,0.375657919
36.12784234,-0.999999888
81.32343539,-0.350377011
27.55772377,0.656832353
97.65978659,-0.267130728
66.4903052,-0.494152288
32.88402629,0.99473134
81.05308737,-0.587787752
56.98616938,0.423677724
30.75602723,-0.613037297
37.39625712,-0.298246221
26.18134946,0.866729882
14.68597883,0.85314493
46.63726466,0.467645467
49.52777936,-0.672589946
28.88989468,-0.57741648
73.94641734,-0.992929041
94.5139781,0.263065738
95.38397224,0.907036978
65.13022716,0.746787531
99.6632652,-0.762843634
31.18052796,-0.23323059
2.164353905,0.828956127
1.779231629,0.978355894
78.57197395,-0.032152068
90.67746779,0.415706229
78.51440576,0.025407845
9.936880396,-0.490011056
22.81383197,-0.732973866
22.43319227,-0.427787606
34.35539796,0.200747833
69.42965987,0.309456564
45.9491142,0.922603301
4.080672697,-0.807015179
13.75534058,0.927985651
88.00806438,0.043456387
54.43462169,-0.856033343
36.78954275,-0.789239201
59.46350744,0.224814813
53.33719434,0.069823914
