Calificaci—n,"Categoria Real (1=Fraude, 0=NoFraude)",,,
0.003529999,0,,,
0.003501158,0,,,
0.047738005,0,,,
0.003873507,0,,,
0.004077173,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.006127262,0,,,
0.004077173,0,,,
0.007717796,0,,,
0.003768726,0,,,
0.003529999,0,,,
0.157676198,0,,,
0.003873507,0,,,
0.003638274,0,,,
0.003529999,0,,,
0.003873507,0,,,
0.003480615,0,,,
0.003712394,0,,,
0.012611555,0,,,
0.003602387,0,,,
0.003806337,0,,,
0.003529999,0,,,
0.013266834,0,,,
0.003873507,0,,,
0.033071123,0,,,
0.004188942,0,,,
0.003557564,0,,,
0.003529999,0,,,
0.105967291,1,,,
0.003717271,0,,,
0.00357272,0,,,
0.232206847,0,,,
0.00522551,0,,,
0.003712394,0,,,
0.003480615,0,,,
0.003873507,0,,,
0.003896588,0,,,
0.003529999,0,,,
0.431818,0,,,
0.003896588,0,,,
0.003480615,0,,,
0.013266834,0,,,
0.00511779,0,,,
0.00357272,0,,,
0.003638274,0,,,
0.003480615,0,,,
0.006588791,0,,,
0.094429568,0,,,
0.003712394,0,,,
0.00356589,0,,,
0.004020785,0,,,
0.046356819,0,,,
0.00347489,0,,,
0.003896588,0,,,
0.003529999,0,,,
0.421905,0,,,
0.046356819,0,,,
0.003529999,0,,,
0.003712394,0,,,
0.003529999,0,,,
0.00347489,0,,,
0.003529999,0,,,
0.003594531,0,,,
0.019984461,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.003526677,0,,,
0.003529999,0,,,
0.00347489,0,,,
0.005974146,0,,,
0.003584974,0,,,
0.004188942,0,,,
0.003480615,0,,,
0.003717271,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003584974,0,,,
0.038385057,0,,,
0.003529999,0,,,
0.003480615,0,,,
0.003529999,0,,,
0.037226616,0,,,
0.003873507,0,,,
0.003638274,0,,,
0.003529999,0,,,
0.003873507,0,,,
0.232206847,0,,,
0.007717796,0,,,
0.003529999,0,,,
0.00367715,0,,,
0.004077173,0,,,
0.003594531,0,,,
0.006588791,0,,,
0.010055009,0,,,
0.00357272,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.038385057,0,,,
0.003529999,0,,,
0.00347489,0,,,
0.004041464,0,,,
0.003529999,0,,,
0.003712394,0,,,
0.003529999,0,,,
0.00369304,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003480615,0,,,
0.003529999,0,,,
0.003873507,0,,,
0.003529999,0,,,
0.003511716,0,,,
0.003896588,0,,,
0.012611555,0,,,
0.005654572,0,,,
0.003529999,0,,,
0.157676198,0,,,
0.003480615,0,,,
0.025696511,0,,,
0.003520688,0,,,
0.00511779,0,,,
0.040054317,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.004077173,0,,,
0.003529999,0,,,
0.004077173,0,,,
0.003501158,0,,,
0.003873507,0,,,
0.003712394,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.00511779,0,,,
0.003529999,0,,,
0.003768726,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.00357272,0,,,
0.00522551,0,,,
0.00511779,0,,,
0.003529999,0,,,
0.089972108,0,,,
0.004020785,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.003490203,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.003529999,0,,,
0.046356819,0,,,
0.003873507,0,,,
0.012611555,0,,,
0.00357596,0,,,
0.003480615,0,,,
0.003712394,0,,,
0.00357272,0,,,
0.00347489,0,,,
0.00357272,0,,,
0.005654572,0,,,
0.037226616,0,,,
0.005992361,0,,,
0.003529999,0,,,
0.04197486,0,,,
0.003529999,0,,,
0.003712394,0,,,
0.006900056,0,,,
0.003529999,0,,,
0.009157015,0,,,
0.003806337,0,,,
0.003638274,0,,,
0.004077173,0,,,
0.038385057,0,,,
0.003603943,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.005992361,0,,,
0.00347489,0,,,
0.003529999,0,,,
0.005974146,0,,,
0.003602387,0,,,
0.003529999,0,,,
0.012456809,0,,,
0.00511779,0,,,
0.003896588,0,,,
0.003480615,0,,,
0.111272361,0,,,
0.003806337,0,,,
0.00522551,0,,,
0.003529999,0,,,
0.003526677,0,,,
0.094775944,0,,,
0.00357272,0,,,
0.003873507,0,,,
0.00347489,0,,,
0.00511779,0,,,
0.003529999,0,,,
0.003717271,0,,,
0.003529999,0,,,
0.003896588,0,,,
0.094429568,0,,,
0.00511779,0,,,
0.003528502,0,,,
0.003529999,0,,,
0.004217472,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.00347489,0,,,
0.003603943,0,,,
0.014514242,0,,,
0.00511779,0,,,
0.00357596,0,,,
0.003873507,0,,,
0.003483926,0,,,
0.06768448,0,,,
0.003602387,0,,,
0.067886673,0,,,
0.003529999,0,,,
0.003914857,0,,,
0.003529999,0,,,
0.003638274,0,,,
0.013266834,0,,,
0.038456095,0,,,
0.003594531,0,,,
0.004077173,0,,,
0.005992361,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.004020785,0,,,
0.004077173,0,,,
0.003712394,0,,,
0.004596993,0,,,
0.004077173,0,,,
0.003702184,0,,,
0.003873507,0,,,
0.004077173,0,,,
0.007717796,0,,,
0.003529999,0,,,
0.004077173,0,,,
0.003806337,0,,,
0.004274832,0,,,
0.003529999,0,,,
0.00347489,0,,,
0.003529999,0,,,
0.00347489,0,,,
0.013266834,0,,,
0.003529999,0,,,
0.004217472,0,,,
0.003529999,0,,,
0.003511716,0,,,
0.003638274,0,,,
0.00511779,0,,,
0.003529999,0,,,
0.004077173,0,,,
0.003529999,0,,,
0.003511716,0,,,
0.00369304,0,,,
0.003529999,0,,,
0.004217472,0,,,
0.003873507,0,,,
0.013266834,0,,,
0.003520688,0,,,
0.003602387,0,,,
0.003638274,0,,,
0.00511779,0,,,
0.003638274,0,,,
0.005654572,0,,,
0.006127262,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.00357272,0,,,
0.003873507,0,,,
0.006900056,0,,,
0.003529999,0,,,
0.003712394,0,,,
0.006588791,0,,,
0.003529999,0,,,
0.003873507,0,,,
0.003712394,0,,,
0.003594531,0,,,
0.003765372,0,,,
0.003529999,0,,,
0.00522551,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.003529999,0,,,
0.232206847,0,,,
0.003602387,0,,,
0.029338128,0,,,
0.003529999,0,,,
0.00511779,0,,,
0.003712394,0,,,
0.003603943,0,,,
0.003765372,0,,,
0.003529999,0,,,
0.003526677,0,,,
0.005992361,0,,,
0.003480615,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003529999,0,,,
0.003602387,0,,,
0.00511779,0,,,
0.003638274,0,,,
0.003529999,0,,,
0.00356589,0,,,
0.003529999,0,,,
0.003914857,0,,,
0.003490203,0,,,
0.004077173,0,,,
0.00357272,0,,,
0.003712394,0,,,
0.003620447,0,,,
0.004077173,0,,,
0.003529999,0,,,
0.003873507,0,,,
0.003526677,0,,,
0.003638274,0,,,
0.003529999,0,,,
0.003873507,0,,,
0.003529999,0,,,
0.003480615,0,,,
0.003529999,0,,,
0.039210903,0,,,
0.005992361,0,,,
0.003529999,0,,,
