X,X2,X3,X4,X5,y
7.317937976,53.55221622,0.864388724,0.859736061,114,50.55221622
1.284357331,1.649573754,0.108685869,0.959256075,115,2.649573754
97.74065218,9553.235089,1.990075233,-0.344099847,116,9643.235089
17.75359136,315.1900062,1.249286219,-0.889369649,117,310.1900062
66.44108134,4414.41729,1.822436692,-0.45077701,118,4390.41729
40.91616347,1674.132433,1.611894905,-0.075387382,119,1647.132433
95.68703527,9156.008719,1.980853099,0.991360994,120,9077.008719
83.68526187,7003.223054,1.922648979,0.907687319,121,7057.223054
39.87342608,1589.890107,1.600683554,0.82334415,122,1569.890107
90.67894485,8222.671039,1.957506458,0.414362387,123,8263.671039
54.88890936,3012.792371,1.739484601,-0.996045483,124,2961.792371
76.62220886,5870.962891,1.884354668,0.940461384,125,5849.962891
12.59832192,158.7177152,1.100312702,0.031945869,126,164.7177152
37.48948311,1405.461344,1.573909453,-0.208096775,127,1393.461344
76.88873862,5911.878127,1.885862736,0.996779179,128,5921.878127
35.29128849,1245.475043,1.547667515,-0.669673677,129,1262.475043
97.14370733,9436.899874,1.987414674,0.243201346,130,9416.899874
35.77404502,1279.782297,1.553568049,-0.937899808,131,1282.782297
43.02721859,1851.34154,1.633743273,-0.816359115,132,1815.34154
10.46066472,109.4255064,1.019559283,-0.860314732,133,105.4255064
68.45799906,4686.497635,1.835424201,-0.610775253,134,4754.497635
73.04168144,5335.087228,1.863570762,-0.706860838,135,5402.087228
61.06307128,3728.698674,1.785778644,-0.980464815,136,3670.698674
51.53557275,2655.915259,1.712107107,0.955127604,137,2702.915259
12.36994415,153.0155183,1.092367739,-0.195165767,138,143.0155183
95.47063589,9114.642317,1.979869815,0.940077074,139,9087.642317
21.80547129,475.4785782,1.338565478,0.184612219,140,495.4785782
58.08545164,3373.919692,1.764067371,0.999421632,141,3370.919692
96.80542908,9371.291099,1.985899714,0.551317992,142,9330.291099
47.69411692,2274.728789,1.678464812,-0.539823244,143,2262.728789
12.13413396,147.237207,1.084008785,-0.4189028,144,148.237207
10.80462804,116.7399871,1.03360982,-0.981825088,145,111.7399871
32.00330558,1024.211568,1.505194838,0.554181256,146,1040.211568
49.65132345,2465.25392,1.695930829,-0.576271418,147,2475.25392
14.93655109,223.1005585,1.174250329,0.697148362,148,214.1005585
6.888909216,47.45707019,0.838150462,0.569357344,149,42.45707019
84.8616197,7201.494498,1.928711317,-0.038608455,150,7130.494498
8.968852647,80.4403178,0.952736889,0.440293299,151,76.4403178
46.07627041,2123.022695,1.663477318,0.866236248,152,2107.022695
46.07503002,2122.908391,1.663465627,0.866855323,153,2078.908391
45.18132133,2041.351797,1.654958928,0.931685046,154,2068.351797
95.80496325,9178.590983,1.981388009,0.999907349,155,9254.590983
69.57635533,4840.869221,1.842461675,0.445127779,156,4830.869221
10.19730467,103.9850225,1.008485395,-0.697946966,157,112.9850225
34.90586341,1218.4193,1.542898385,-0.341341944,158,1213.4193
12.10675099,146.5734195,1.08302761,-0.443607238,159,141.5734195
14.33911644,205.6102603,1.156522391,0.97967741,160,207.6102603
30.6350413,938.5057555,1.48621847,-0.70390847,161,912.5057555
86.16569862,7424.527619,1.935334414,-0.974097941,162,7468.527619
2.893176655,8.370471157,0.461374952,0.245868891,163,8.370471157
53.41265049,2852.911232,1.727644129,-0.00557535,164,2898.911232
19.47451,379.2565397,1.289466539,0.585060032,165,380.2565397
98.49987649,9702.225669,1.993435686,-0.895922783,166,9768.225669
49.00958564,2401.939485,1.690281031,-0.950827508,167,2354.939485
75.47938059,5697.136894,1.877828328,0.081067844,168,5662.136894
86.73598865,7523.131727,1.938199333,-0.942021842,169,7530.131727
68.20599118,4652.057233,1.833822525,-0.788918604,170,4702.057233
14.62164686,213.7925569,1.164996291,0.884917296,171,224.7925569
31.85368969,1014.657547,1.503159745,0.423914611,172,1033.657547
22.11577216,489.1073782,1.344702107,-0.124301246,173,473.1073782
53.58343866,2871.184899,1.729030581,-0.175450698,174,2906.184899
38.02021194,1445.536516,1.580014533,0.315610621,175,1459.536516
23.00525286,529.2416592,1.361827011,-0.849007614,176,522.2416592
81.33418136,6615.249058,1.9102731,-0.340292207,177,6589.249058
48.48100933,2350.408266,1.685571653,-0.97725784,178,2385.408266
19.51188104,380.7135017,1.29029914,0.614952019,179,378.7135017
45.11123196,2035.023249,1.654284688,0.903957203,180,2022.023249
24.07819747,579.7595934,1.381623972,-0.869675106,181,594.7595934
22.83791954,521.5705689,1.358656539,-0.749145383,182,515.5705689
63.12363539,3984.593345,1.800192003,0.287659666,183,4030.593345
40.7084432,1657.177348,1.609684494,0.131876025,184,1670.177348
82.88243987,6869.498839,1.918462527,0.932412137,185,6833.498839
31.48348681,991.2099417,1.498082825,0.067508891,186,1018.209942
31.82383575,1012.756522,1.502752524,0.396690955,187,1009.756522
27.13615771,736.3710553,1.433548355,0.907870365,188,762.3710553
65.32414447,4267.243851,1.815073731,0.604629999,189,4250.243851
59.95638262,3594.767817,1.777835422,-0.262992132,190,3580.767817
42.36897091,1795.129696,1.627047916,-0.99909574,191,1786.129696
82.46068885,6799.765206,1.916246958,0.702767277,192,6761.765206
29.11876198,847.9022992,1.464172906,-0.7475914,193,819.9022992
22.57207148,509.4984109,1.353571417,-0.548795679,194,517.4984109
0.377225365,0.142298976,-0.423399113,0.36834234,195,0.142298976
89.22706672,7961.469435,1.950496616,0.952843539,196,7958.469435
